Date,Adj Close
2019/5/17,98
2019/5/20,97.93
2019/5/21,98.059998
2019/5/22,98.110001
2019/5/23,97.849998
2019/5/24,97.610001
2019/5/28,97.959999
2019/5/29,98.139999
2019/5/30,98.139999
2019/5/31,97.790001
2019/6/3,97.139999
2019/6/4,97.07
2019/6/5,97.370003
2019/6/6,97.029999
2019/6/7,96.610001
2019/6/10,96.790001
2019/6/11,96.690002
2019/6/12,97
2019/6/13,97.010002
2019/6/14,97.57
2019/6/17,97.559998
2019/6/18,97.639999
2019/6/19,97.120003
2019/6/20,96.629997
2019/6/21,96.190002
2019/6/24,95.980003
2019/6/25,96.160004
2019/6/26,96.209999
2019/6/27,96.220001
2019/6/28,96.129997
2019/7/1,96.839996
2019/7/2,96.769997
2019/7/5,97.25
2019/7/8,97.379997
2019/7/9,97.489998
2019/7/10,97.099998
2019/7/11,97.050003
2019/7/12,96.809998
2019/7/15,96.93
2019/7/16,97.400002
2019/7/17,97.220001
2019/7/18,96.790001
2019/7/19,97.150002
2019/7/22,97.260002
2019/7/23,97.709999
2019/7/24,97.730003
2019/7/25,97.82
2019/7/26,98.010002
2019/7/29,98.040001
2019/7/30,98.050003
2019/7/31,98.519997
2019/8/1,98.389999
2019/8/2,98.099998
2019/8/5,97.5
2019/8/6,97.629997
2019/8/7,97.540001
2019/8/8,97.620003
2019/8/9,97.489998
2019/8/12,97.379997
2019/8/13,97.809998
2019/8/14,97.989998
2019/8/15,98.139999
2019/8/16,98.139999
2019/8/19,98.349998
2019/8/20,98.190002
2019/8/21,98.300003
2019/8/22,98.169998
2019/8/23,97.639999
2019/8/26,98.080002
2019/8/27,98
2019/8/28,98.209999
2019/8/29,98.510002
2019/8/30,98.919998
2019/9/3,98.949997
2019/9/4,98.449997
2019/9/5,98.410004
2019/9/6,98.389999
2019/9/9,98.279999
2019/9/10,98.379997
2019/9/11,98.650002
2019/9/12,98.309998
2019/9/13,98.260002
2019/9/16,98.650002
2019/9/17,98.260002
2019/9/18,98.599998
2019/9/19,98.269997
2019/9/20,98.510002
2019/9/23,98.599998
2019/9/24,98.339996
2019/9/25,99.040001
2019/9/26,99.209999
2019/9/27,99.110001
2019/9/30,99.379997
2019/10/1,99.129997
2019/10/2,99.040001
2019/10/3,98.860001
2019/10/4,98.809998
2019/10/7,98.989998
2019/10/8,99.139999
2019/10/9,99.120003
2019/10/10,98.709999
2019/10/11,98.300003
2019/10/14,98.5
2019/10/15,98.290001
2019/10/16,98.010002
2019/10/17,97.610001
2019/10/18,97.279999
2019/10/21,97.330002
2019/10/22,97.529999
2019/10/23,97.470001
2019/10/24,97.629997
2019/10/25,97.830002
2019/10/28,97.760002
2019/10/29,97.690002
2019/10/30,97.650002
2019/10/31,97.349998
2019/11/1,97.230003
2019/11/4,97.510002
2019/11/5,97.980003
2019/11/6,97.949997
2019/11/7,98.139999
2019/11/8,98.349998
2019/11/11,98.220001
2019/11/12,98.309998
2019/11/13,98.370003
2019/11/14,98.160004
2019/11/15,98
2019/11/18,97.790001
2019/11/19,97.860001
2019/11/20,97.93
2019/11/21,97.989998
2019/11/22,98.265999
2019/11/25,98.32
2019/11/26,98.25
2019/11/27,98.410004
2019/12/2,97.860001
2019/12/3,97.739998
2019/12/4,97.650002
2019/12/5,97.410004
